,l3,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,property_type
43891,Belgrano,2.0,1.0,2.0,58.0,50.0,230000.0,Casa
43892,Flores,3.0,3.0,1.0,60.0,52.0,129000.0,Departamento
43893,Liniers,3.0,2.0,1.0,65.0,58.0,115000.0,Departamento
43914,Belgrano,1.0,1.0,1.0,49.0,45.0,162000.0,Departamento
43922,Villa Luro,1.0,0.0,1.0,45.0,42.0,143000.0,Departamento
43923,Barrio Norte,1.0,2.0,1.0,75.0,75.0,245000.0,Departamento
43927,Palermo,2.0,1.0,1.0,58.0,58.0,127000.0,PH
43947,Almagro,2.0,1.0,1.0,52.0,48.0,158000.0,Departamento
43949,Almagro,2.0,1.0,1.0,56.0,51.0,159000.0,Departamento
43950,Coghlan,2.0,1.0,1.0,110.0,50.0,231000.0,Departamento
43952,Liniers,2.0,1.0,1.0,49.0,41.0,153000.0,Departamento
43953,Palermo,2.0,1.0,1.0,115.0,75.0,298725.0,Departamento
43954,Palermo,2.0,1.0,1.0,56.0,51.0,152000.0,Departamento
43955,Palermo,2.0,1.0,1.0,60.0,50.0,300000.0,Departamento
43956,Palermo,2.0,1.0,1.0,53.0,45.0,174500.0,Departamento
43957,Palermo,2.0,1.0,1.0,46.0,42.0,158000.0,Departamento
43958,Palermo,2.0,1.0,1.0,59.0,46.0,160000.0,Departamento
43959,Palermo,2.0,1.0,1.0,48.0,48.0,135000.0,Departamento
43960,Palermo,2.0,1.0,2.0,105.0,73.0,268972.0,Departamento
43961,Barracas,2.0,1.0,1.0,59.0,44.0,160000.0,Departamento
43962,Barracas,2.0,1.0,1.0,51.0,44.0,140000.0,Departamento
43963,Belgrano,2.0,1.0,1.0,50.0,50.0,155000.0,Departamento
43964,Belgrano,2.0,1.0,1.0,52.0,48.0,140000.0,Departamento
43965,Belgrano,2.0,1.0,1.0,53.0,45.0,174000.0,Departamento
43969,Paternal,2.0,1.0,1.0,55.0,51.0,150000.0,Departamento
43970,Recoleta,2.0,1.0,1.0,95.0,70.0,350000.0,Departamento
43971,Recoleta,2.0,1.0,2.0,51.0,47.0,167800.0,Departamento
43987,Barrio Norte,2.0,1.0,1.0,47.0,47.0,153000.0,Departamento
43988,Barrio Norte,2.0,1.0,1.0,47.0,47.0,150000.0,Departamento
43989,Barrio Norte,2.0,1.0,1.0,55.0,55.0,165000.0,Departamento
43990,Barrio Norte,2.0,1.0,1.0,55.0,55.0,165000.0,Departamento
43991,Barrio Norte,2.0,1.0,1.0,60.0,50.0,310000.0,Departamento
43992,Barrio Norte,2.0,1.0,1.0,46.0,39.0,153800.0,Departamento
43993,Las Cañitas,2.0,1.0,1.0,53.0,45.0,174000.0,Departamento
43995,Villa Crespo,2.0,1.0,1.0,48.0,46.0,169000.0,Departamento
43996,Villa Crespo,2.0,1.0,1.0,50.0,37.0,118000.0,Departamento
43999,Villa Crespo,2.0,1.0,1.0,45.0,41.0,135000.0,Departamento
44001,Villa Crespo,2.0,1.0,1.0,47.0,42.0,158000.0,Departamento
44002,Villa Devoto,2.0,1.0,1.0,74.0,61.0,205000.0,Departamento
44003,Villa Devoto,2.0,1.0,1.0,48.0,44.0,120000.0,Departamento
44004,Puerto Madero,2.0,1.0,2.0,67.0,61.0,512211.0,Departamento
44005,Villa Urquiza,2.0,1.0,2.0,45.0,40.0,158500.0,Departamento
44011,Liniers,3.0,2.0,1.0,56.0,50.0,120000.0,PH
44015,Villa Luro,3.0,2.0,1.0,56.0,50.0,120000.0,PH
44016,Villa Crespo,3.0,2.0,1.0,80.0,68.0,175000.0,PH
44018,Parque Patricios,3.0,2.0,1.0,106.0,99.0,119000.0,PH
44019,Villa Santa Rita,3.0,2.0,1.0,80.0,78.0,130000.0,PH
44030,Saavedra,3.0,2.0,1.0,125.0,65.0,120000.0,Casa
44043,Nuñez,3.0,2.0,1.0,64.0,56.0,175000.0,Departamento
44044,Retiro,3.0,2.0,3.0,96.0,96.0,219000.0,Departamento
44045,Almagro,3.0,2.0,1.0,55.0,55.0,125000.0,Departamento
44046,Almagro,3.0,2.0,1.0,69.0,69.0,139900.0,Departamento
44047,Almagro,3.0,2.0,1.0,66.0,57.0,145000.0,Departamento
44048,Almagro,3.0,2.0,1.0,50.0,48.0,149500.0,Departamento
44050,Coghlan,3.0,2.0,2.0,96.0,70.0,303000.0,Departamento
44051,Coghlan,3.0,2.0,2.0,108.0,79.0,280000.0,Departamento
44052,Liniers,3.0,2.0,1.0,56.0,50.0,120000.0,Departamento
44053,Palermo,3.0,2.0,2.0,145.0,145.0,420000.0,Departamento
44054,Palermo,3.0,2.0,1.0,50.0,50.0,177000.0,Departamento
44055,Palermo,3.0,1.0,2.0,170.0,90.0,430000.0,Departamento
44056,Palermo,3.0,2.0,2.0,82.0,82.0,475000.0,Departamento
44057,Palermo,3.0,2.0,2.0,164.0,60.0,269000.0,Departamento
44058,Belgrano,3.0,2.0,1.0,74.0,63.0,195000.0,Departamento
44059,Belgrano,3.0,2.0,2.0,83.0,72.0,195000.0,Departamento
44060,Belgrano,3.0,2.0,1.0,58.0,58.0,151500.0,Departamento
44063,Balvanera,3.0,2.0,1.0,50.0,50.0,155000.0,Departamento
44064,Balvanera,3.0,2.0,1.0,55.0,55.0,123000.0,Departamento
44066,Caballito,3.0,2.0,1.0,70.0,59.0,168000.0,Departamento
44067,Colegiales,3.0,2.0,1.0,66.0,60.0,155000.0,Departamento
